state_abrv,state_name,2018_rate,2019_rate,rate_diff
AL,Alabama,3.9,3.2,-0.7
AK,Alaska,6,5.5,-0.5
AZ,Arizona,4.8,4.9,0.1
AR,Arkansas,3.6,3.5,-0.1
CA,California,4.3,4.1,-0.2
CO,Colorado,3,2.6,-0.4
CT,Connecticut,3.9,3.5,-0.4
DE,Delaware,3.8,3.7,-0.1
DC,District of Columbia,5.6,5.4,-0.2
FL,Florida,3.7,3.2,-0.5
GA,Georgia,4,3.6,-0.4
HI,Hawaii,2.4,2.5,0.1
ID,Idaho,2.9,3,0.1
IL,Illinois,4.4,4,-0.4
IN,Indiana,3.4,3.3,-0.1
IA,Iowa,2.5,2.6,0.1
KS,Kansas,3.3,3.1,-0.2
KY,Kentucky,4.2,4.1,-0.1
LA,Louisiana,4.8,4.6,-0.2
ME,Maine,3.1,2.8,-0.3
MD,Maryland,3.6,3.4,-0.2
MA,Massachusetts,3.4,3.1,-0.3
MI,Michigan,4.2,4.1,-0.1
MN,Minnesota,3.1,3.4,0.3
MS,Mississippi,4.9,5.4,0.5
MO,Missouri,3.2,3.1,-0.1
MT,Montana,3.7,3.6,-0.1
NE,Nebraska,2.9,3,0.1
NV,Nevada,4.4,4,-0.4
NH,New Hampshire,2.6,2.6,0
NJ,New Jersey,4,3.4,-0.6
NM,New Mexico,4.9,4.9,0
NY,New York,4.1,3.8,-0.3
NC,North Carolina,4,3.8,-0.2
ND,North Dakota,2.4,2.1,-0.3
OH,Ohio,4.5,4.2,-0.3
OK,Oklahoma,3.3,3.1,-0.2
OR,Oregon,4,3.7,-0.3
PA,Pennsylvania,4.5,4.5,0
RI,Rhode Island,4.1,3.6,-0.5
SC,South Carolina,3.4,2.8,-0.6
SD,South Dakota,2.8,2.8,0
TN,Tennessee,3.5,3.4,-0.1
TX,Texas,3.9,3.5,-0.4
UT,Utah,2.9,2.6,-0.3
VT,Vermont,2.6,2.3,-0.3
VA,Virginia,3,2.8,-0.2
WA,Washington,4.4,4.3,-0.1
WV,West Virginia,5.2,4.9,-0.3
WI,Wisconsin,3,3.2,0.2
WY,Wyoming,4.1,3.7,-0.4
